Year,Flow_AF
1560,12715050
1561,7123280
1562,7696752
1563,8533139
1564,13002371
1565,11172021
1566,9542812
1567,9872882
1568,10996513
1569,7090063
1570,7374990
1571,3902498
1572,6359843
1573,8680190
1574,8721212
1575,6839822
1576,5684253
1577,11370628
1578,7352586
1579,3953876
1580,2089451
1581,7729553
1582,7547213
1583,10648016
1584,6958474
1585,5838526
1586,8169140
1587,11117163
1588,8579882
1589,11704344
1590,5893524
1591,11458783
1592,7265602
1593,7191550
1594,6349174
1595,6148476
1596,11000249
1597,8577949
1598,6377708
1599,12210030
1600,6827510
1601,12832426
1602,11915535
1603,9490571
1604,12141487
1605,12181587
1606,11322574
1607,7040696
1608,11829701
1609,10759434
1610,12494149
1611,11981735
1612,9357540
1613,5629089
1614,7642226
1615,9049624
1616,8500222
1617,11980007
1618,6670971
1619,7687118
1620,9640993
1621,7682682
1622,5585450
1623,12406061
1624,10546339
1625,11437986
1626,6371805
1627,8706296
1628,9625920
1629,5369608
1630,8420043
1631,5811703
1632,4370367
1633,8503102
1634,8366151
1635,10866817
1636,7293259
1637,6454821
1638,7385438
1639,5205810
1640,10065523
1641,12089609
1642,11164668
1643,7042760
1644,8710882
1645,6719289
1646,6448240
1647,6930431
1648,7352293
1649,10049673
1650,7335139
1651,9554996
1652,7072264
1653,5401629
1654,4632300
1655,5064582
1656,12064797
1657,6374580
1658,6702772
1659,5990609
1660,9849998
1661,11518907
1662,8477896
1663,7570394
1664,9191037
1665,9218560
1666,8221955
1667,4612444
1668,9808469
1669,5534287
1670,4834762
1671,9506829
1672,13018410
1673,7535407
1674,10171473
1675,9462164
1676,5468956
1677,11291495
1678,8691607
1679,7461510
1680,10485625
1681,8349619
1682,10292333
1683,11570411
1684,9394144
1685,9791436
1686,5855318
1687,9624290
1688,8670099
1689,7549746
1690,6774651
1691,4536153
1692,8186648
1693,9809906
1694,9117943
1695,6901255
1696,10242133
1697,11530621
1698,6509370
1699,7729853
1700,9758648
1701,8736452
1702,12421006
1703,5575430
1704,10851105
1705,9300253
1706,5621389
1707,7383202
1708,6408137
1709,11674328
1710,6190130
1711,8345943
1712,8636053
1713,9335243
1714,6618587
1715,7653870
1716,8102450
1717,9277982
1718,8297030
1719,6964940
1720,9064565
1721,5065021
1722,6020124
1723,11863798
1724,7218405
1725,10678243
1726,8378786
1727,11998184
1728,7117520
1729,3483699
1730,14547404
1731,9758594
1732,11829670
1733,6171668
1734,11232155
1735,6923214
1736,5585799
1737,6829554
1738,11280603
1739,7155475
1740,12111589
1741,10153505
1742,10103143
1743,11395733
1744,9198183
1745,13176797
1746,10270135
1747,11847137
1748,6657688
1749,9652451
1750,8760743
1751,7296125
1752,8553406
1753,7967480
1754,6485399
1755,6743501
1756,4831691
1757,5208248
1758,7884146
1759,6802951
1760,7628830
1761,10357721
1762,7374782
1763,8464384
1764,6868886
1765,5100193
1766,9027861
1767,9447304
1768,10928788
1769,11041244
1770,6150654
1771,9402851
1772,9446071
1773,9063726
1774,10276715
1775,9067223
1776,4749731
1777,4416789
1778,6006017
1779,9630878
1780,7314664
1781,7998577
1782,5045526
1783,3989418
1784,12693593
1785,12132212
1786,9872343
1787,11137965
1788,6416158
1789,13675619
1790,14315752
1791,10772329
1792,12468547
1793,8717677
1794,5548636
1795,4000497
1796,5628208
1797,9529422
1798,10137518
1799,11657697
1800,6238287
1801,11137844
1802,10372945
1803,8113687
1804,8842863
1805,8741092
1806,8324323
1807,6678797
1808,6885702
1809,7747037
1810,9769529
1811,11738145
1812,7805884
1813,9037648
1814,8857688
1815,7694147
1816,9505134
1817,9211339
1818,9234123
1819,9295929
1820,8441938
1821,9199253
1822,5540658
1823,6816422
1824,6034199
1825,14383026
1826,12257527
1827,7233861
1828,11941708
1829,3742371
1830,9630543
1831,7750775
1832,12286986
1833,8163482
1834,7088872
1835,8259808
1836,9344413
1837,6858689
1838,10396435
1839,7055580
1840,7383725
1841,3824884
1842,9403011
1843,4821814
1844,4645896
1845,7690750
1846,5758184
1847,9103119
1848,8557576
1849,8190711
1850,9666442
1851,8481940
1852,10096727
1853,12616323
1854,10560549
1855,9730990
1856,5685496
1857,7519086
1858,5172862
1859,5708765
1860,9074391
1861,9468618
1862,11751542
1863,8601503
1864,4348660
1865,7122310
1866,12286947
1867,11457807
1868,16224772
1869,10393070
1870,6877681
1871,5481180
1872,8962582
1873,7926078
1874,8639782
1875,8137458
1876,9944024
1877,6408452
1878,14091181
1879,7769175
1880,7359467
1881,11673517
1882,6653938
1883,6494273
1884,13691224
1885,11749067
1886,9071901
1887,7895285
1888,7996232
1889,6859857
1890,11597876
1891,11369170
1892,7263117
1893,10095123
1894,11186673
1895,9802450
1896,9696795
1897,9897338
1898,4943181
1899,6674686
1900,8884869
1901,10800507
1902,8340522
1903,8556332
1904,9157306
1905,9917619
1906,11955000
1907,13692000
1908,7548000
1909,15603000
1910,8335000
1911,9777000
1912,6986000
1913,7313000
1914,13218000
1915,13016000
1916,10233000
1917,6957000
1918,5501000
1919,7657000
1920,6366000
1921,9530000
1922,6834000
1923,4797000
1924,3638000
1925,7820000
1926,7068000
1927,10144000
1928,7164000
1929,4853000
1930,5394000
1931,3808000
1932,4511000
1933,4862000
1934,4684000
1935,7123000
1936,6985000
1937,8682000
1938,12451000
1939,4135000
1940,12102000
1941,14130000
1942,10271100
1943,8075500
1944,5345600
1945,8293900
1946,6088420
1947,5001970
1948,7600790
1949,5858910
1950,7932780
1951,8714140
1952,10818230
1953,9053990
1954,9650990
1955,7622580
1956,10756200
1957,8176700
1958,14138100
1959,6548700
1960,7274100
1961,7034100
1962,8141200
1963,9136100
1964,7027100
1965,8590300
1966,8008800
1967,9329200
1968,7524100
1969,12311100
1970,12620330
1971,8946580
1972,7216700
1973,12145000
1974,12744850
1975,9375660
1976,4391400
1977,4138270
1978,11258140
1979,6378160
1980,9256700
1981,9279300
1982,11679040
1983,18821640
1984,7582540
1985,4734550
1986,10649760
1987,5895895
1988,5030820
1989,6382677
1990,4523094
1991,4034465
1992,5577933
1993,10052272
1994,4104695
1995,15620486
1996,11347850
1997,8762345
1998,16656183
1999,8930944
2000,9677255
2001,7065121
2002,7901662
2003,9297100
2004,8653882
2005,9879605
2006,12954036
2007,4788308
2008,5500986
2009,6336217
2010,9399369
2011,8925348
2012,7200032
2013,4196372
2014,5435464
2015,4245330
2016,9636987
2017,13579222
